p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.323795400090531e-9,0.36341175633398226,0.964,0.882,1.009217084335131e-4,1,Serinc31
4.339455250494982e-9,0.350757676816738,0.464,0.193,1.0128722500180337e-4,1,Lnpep1
4.422068507071888e-9,0.6631338064725543,0.493,0.222,1.0321550102356494e-4,1,Senp61
4.4877160139467365e-9,0.36254021909181633,0.443,0.176,1.0474777948153077e-4,1,Dock81
4.508343479086377e-9,0.3837761420620449,0.35,0.118,1.0522924514535512e-4,1,Atf11
4.576746073860208e-9,0.4763884767877209,0.357,0.118,1.0682583010997111e-4,1,Herc11
4.612251158916086e-9,0.624697109985263,0.464,0.203,1.0765455430026038e-4,1,Cs1
4.735281610393589e-9,0.412026102352832,0.721,0.441,1.1052620806819676e-4,1,Pten1
4.752740569189478e-9,0.4215753511864344,0.4,0.15,1.109337176254516e-4,1,Exosc101
4.7967507305767055e-9,0.3515044244968655,0.657,0.329,1.1196095880239088e-4,1,Hnrnpd1
4.943036529384328e-9,0.3627617704288708,0.571,0.275,1.1537541563235961e-4,1,Rcc21
5.0000322471716756e-9,0.385001012745148,0.486,0.203,1.1670575268123407e-4,1,Gnl31
5.0320913458738e-9,0.7149333867264343,0.414,0.163,1.1745404410404037e-4,1,Mybbp1a1
5.208299063903549e-9,0.5376621530182626,0.279,0.078,1.2156690845057274e-4,1,Timm91
5.466023862685337e-9,0.5462966277907491,0.314,0.099,1.2758246297893844e-4,1,Ier5l1
5.466316911965047e-9,0.37509691430094705,0.686,0.385,1.2758930304217615e-4,1,Psma61
5.5781647093141215e-9,0.4563081030416747,0.643,0.326,1.301999424801009e-4,1,Slc1a51
5.706994034824716e-9,0.6297491213906454,0.4,0.15,1.3320694776684368e-4,1,C1qbp1
5.932789035001584e-9,0.36900206243539735,0.971,0.762,1.38477228865972e-4,1,Lcp11
5.9830131254889615e-9,0.25587672988973775,0.55,0.257,1.3964950936203786e-4,1,Ssu721
6.04484980580839e-9,0.48027003157696635,0.529,0.251,1.4109283931737363e-4,1,Bmp2k1
6.285847631206359e-9,0.3837276079108842,0.557,0.262,1.4671796955998762e-4,1,Supt5h1
6.370380731694683e-9,0.2973159459959178,0.486,0.203,1.486910566584856e-4,1,Rtf11
6.58760424362838e-9,0.4045667014769414,0.357,0.126,1.5376127065053002e-4,1,Crk1
6.605932364344199e-9,0.6454416418969808,0.393,0.152,1.5418906731615796e-4,1,Lypla21
6.611099830699971e-9,0.3029513338571057,0.55,0.246,1.5430968114836803e-4,1,Zc3h11a1
6.8544998265656906e-9,0.7879202594384447,0.371,0.136,1.599908804518698e-4,1,Rassf51
7.015277682576614e-9,0.5490612558981889,0.3,0.091,1.6374359638902074e-4,1,Ppp1r14b1
7.0890892368892544e-9,0.2753861150810746,0.386,0.136,1.654664318782321e-4,1,Zfp6441
7.594759293271662e-9,0.7011749949194814,0.307,0.094,1.7726927666425387e-4,1,Fundc21
7.790042226844023e-9,0.41338873608344406,0.307,0.094,1.8182737561676636e-4,1,Nutf21
7.871540457017173e-9,0.798503939749136,0.407,0.166,1.8372962580723783e-4,1,Morc31
8.013755840819783e-9,0.34187683362815724,0.321,0.104,1.8704907508057455e-4,1,Usp51
8.040446171512733e-9,0.4424853599304259,0.443,0.176,1.876720540892787e-4,1,Osbpl81
8.934073511392234e-9,0.45598238607845687,0.393,0.147,2.085302098294061e-4,1,Trim271
9.143371160346315e-9,0.7158030129261292,0.286,0.083,2.1341542625364333e-4,1,Kcna31
9.299597383097828e-9,0.983508240844392,0.286,0.088,2.170619025188864e-4,1,2510039O18Rik1
