MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s),category
MGI:88556,Ctla4,cytotoxic T-lymphocyte-associated protein 4,1,,external side of plasma membrane,,,ISO,P16410 ,J:164563 ,external side of plasma membrane
MGI:88561,Ctsb,cathepsin B,14,,external side of plasma membrane,,,ISO,RGD:621509 ,J:155856 ,external side of plasma membrane
MGI:88564,Ctsl,cathepsin L,13,,external side of plasma membrane,,,ISO,RGD:2448 ,J:155856 ,external side of plasma membrane
MGI:1352449,Cxcl9,chemokine (C-X-C motif) ligand 9,5,,external side of plasma membrane,"is a part of spleen,is a part of T cell",,IDA,,J:141392 ,external side of plasma membrane
MGI:1352450,Cxcl10,chemokine (C-X-C motif) ligand 10,5,,external side of plasma membrane,"is a part of spleen,is a part of T cell",,IDA,,J:141392 ,external side of plasma membrane
MGI:103556,Cxcl12,chemokine (C-X-C motif) ligand 12,6,,external side of plasma membrane,"is a part of spleen,is a part of T cell",,IDA,,J:141392 ,external side of plasma membrane
MGI:1277207,Cxcr3,chemokine (C-X-C motif) receptor 3,X,,external side of plasma membrane,"is a part of spleen,is a part of T cell",,IDA,,J:141392 ,external side of plasma membrane
MGI:1277207,Cxcr3,chemokine (C-X-C motif) receptor 3,X,,external side of plasma membrane,,,ISO,RGD:621528 ,J:155856 ,external side of plasma membrane
MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,1,,external side of plasma membrane,"is a part of spleen,is a part of T cell",,IDA,,J:141392 ,external side of plasma membrane
MGI:103567,Cxcr5,chemokine (C-X-C motif) receptor 5,9,,external side of plasma membrane,happens in T cell,,IDA,,J:196136 ,external side of plasma membrane
MGI:101864,Dag1,dystroglycan 1,9,,external side of plasma membrane,,,IDA,,J:83782 ,external side of plasma membrane
MGI:94900,Dlk1,delta like non-canonical Notch ligand 1,12,,external side of plasma membrane,"is a part of liver,is a part of hematopoietic cell|is a part of liver,is a part of hepatocyte",,IDA,,J:141412 ,external side of plasma membrane
MGI:2685574,Dnaic2,"dynein, axonemal, intermediate chain 2",11,,external side of plasma membrane,is a part of secondary oocyte,,IDA,,J:219770 ,external side of plasma membrane
MGI:1101357,Ece1,endothelin converting enzyme 1,4,,external side of plasma membrane,,,ISO,P42892 ,J:164563 ,external side of plasma membrane
MGI:1101357,Ece1,endothelin converting enzyme 1,4,,external side of plasma membrane,,,ISO,RGD:620293 ,J:155856 ,external side of plasma membrane
MGI:107444,Efna5,ephrin A5,17,,anchored component of external side of plasma membrane,,,ISO,P52803 ,J:164563 ,external side of plasma membrane
MGI:95392,Eng,endoglin,2,,external side of plasma membrane,,,ISO,P17813 ,J:164563 ,external side of plasma membrane
MGI:2384799,Enox2,ecto-NOX disulfide-thiol exchanger 2,X,,external side of plasma membrane,,,ISO,Q16206 ,J:164563 ,external side of plasma membrane
MGI:106645,Enpep,glutamyl aminopeptidase,3,,external side of plasma membrane,is a part of B cell,,IDA,,J:27374 ,external side of plasma membrane
MGI:99654,Epha5,Eph receptor A5,5,,external side of plasma membrane,,,ISO,P54756 ,J:164563 ,external side of plasma membrane
MGI:95408,Epor,erythropoietin receptor,9,,external side of plasma membrane,,,ISO,RGD:2560 ,J:155856 ,external side of plasma membrane
MGI:88380,F2,coagulation factor II,2,colocalizes_with,external side of plasma membrane,,,ISO,P00734 ,J:164563 ,external side of plasma membrane
MGI:2442797,F630003A18Rik,RIKEN cDNA F630003A18 gene,16,,external side of plasma membrane,,,IBA,PTN001087295 ,J:161428 ,external side of plasma membrane
MGI:95484,Fas,Fas (TNF receptor superfamily member 6),19,,external side of plasma membrane,is a part of fibroblast,,IDA,,J:104536 ,external side of plasma membrane
MGI:95484,Fas,Fas (TNF receptor superfamily member 6),19,,external side of plasma membrane,is a part of T cell|is a part of B cell,,IDA,,J:31364 ,external side of plasma membrane
MGI:95484,Fas,Fas (TNF receptor superfamily member 6),19,,external side of plasma membrane,is a part of lymphocyte,,IDA,,J:125784 ,external side of plasma membrane
MGI:95484,Fas,Fas (TNF receptor superfamily member 6),19,,external side of plasma membrane,,,IDA,,J:97777 ,external side of plasma membrane
MGI:95484,Fas,Fas (TNF receptor superfamily member 6),19,,external side of plasma membrane,is a part of dendritic cell,,IDA,,J:87420 ,external side of plasma membrane
